,Label,Id,Type
138,variableDebtTokenAddress-aAmmUniUNIWETH,0x0d878fbb01fbeea7ddefb896d56f1d3167af919f,TOKEN
139,aAmmUniUSDCWETH,0x391e86e2c002c70dee155eaceb88f7a3c38f5976,TOKEN
140,stableDebtTokenAddress-aAmmUniUSDCWETH,0xfab4c9775a4316ec67a8223ecd0f70f87ff532fc,TOKEN
141,variableDebtTokenAddress-aAmmUniUSDCWETH,0x26625d1ddf520fc8d975cc68ec6e0391d9d3df61,TOKEN
142,aAmmUniWBTCUSDC,0x2365a4890ed8965e564b7e2d27c38ba67fec4c6f,TOKEN
143,stableDebtTokenAddress-aAmmUniWBTCUSDC,0xc66bfa05cce646f05f71dee333e3229ce24bbb7e,TOKEN
144,variableDebtTokenAddress-aAmmUniWBTCUSDC,0x36da0c5dc23397cbf9d13bbd74e93c04f99633af,TOKEN
145,aAmmUniYFIWETH,0x5394794be8b6ed5572fcd6b27103f46b5f390e8f,TOKEN
146,stableDebtTokenAddress-aAmmUniYFIWETH,0x9b054b76d6de1c4892ba025456a9c4f9be5b1766,TOKEN
147,variableDebtTokenAddress-aAmmUniYFIWETH,0xdf70bdf01a3ebcd0d918ff97390852a914a92df7,TOKEN
148,aAmmBptWBTCWETH,0x358bd0d980e031e23eba9aa793926857703783bd,TOKEN
149,stableDebtTokenAddress-aAmmBptWBTCWETH,0x46406ecd20fde1df4d80f15f07c434fa95cb6b33,TOKEN
150,variableDebtTokenAddress-aAmmBptWBTCWETH,0xf655df3832859cfb0acfd88edff3452b9aa6db24,TOKEN
151,aAmmBptBALWETH,0xd109b2a304587569c84308c55465cd9ff0317bfb,TOKEN
152,stableDebtTokenAddress-aAmmBptBALWETH,0x6474d116476b8eda1b21472a599ff76a829abcbb,TOKEN
153,variableDebtTokenAddress-aAmmBptBALWETH,0xf41a5cc7a61519b08056176d7b4b87ab34df55ad,TOKEN
154,aRENFIL,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,TOKEN
155,stableDebtTokenAddress-aRENFIL,0x348e2ebd5e962854871874e444f4122399c02755,TOKEN
156,variableDebtTokenAddress,0xcaad05c49e14075077915cb5c820eb3245afb950,TOKEN
157,Ecosystem Reserve,0x25F2226B597E8F9514B3F68F00f494cF4f286491,GOV
