Label,Id
oBTC-LiquidityGaugeV2,0x11137B10C210b579405c21A07489e28F3c040AB1
PAX-LiquidityGauge,0x64E3C23bfc40722d3B649844055F1D51c1ac041d
IronBank-LiquidityGaugeV2,0xF5194c3325202F456c95c1Cf0cA36f8475C1949F
Link-LiquidityGaugeV2,0xFD4D8a17df4C27c1dD245d153ccf4499e806C87D
pBTC-LiquidityGaugeV2,0xd7d147c6Bb90A718c3De8C0568F9B560C79fa416
renBTC-LiquidityGauge,0xB1F2cdeC61db658F091671F5f199635aEF202CAC
RSV-LiquidityGaugeReward,0x4dC4A289a8E33600D8bD4cf5F6313E43a37adec7
sAAVE-LiquidityGaugeV2,0x462253b8F74B72304c145DB0e4Eebd326B22ca39
sBTC-LiquidityGaugeReward,0x705350c4BcD35c9441419DdD5d2f097d7a55410F
sETH-LiquidityGaugeV2,0x3C0FFFF15EA30C35d7A85B85c0782D6c94e1d238
stETH-LiquidityGaugeV2,0x182B723a58739a9c974cFDB385ceaDb237453c28
sUSDv2-LiquidityGaugeReward,0xA90996896660DEcC6E997655E065b23788857849
rETH-LiquidityGaugeV3,0x824F13f1a2F29cFEEa81154b46C0fc820677A637
tBTC-LiquidityGaugeReward,0x6828bcF74279eE32f2723eC536c22c51Eed383C6
TriCrypto-LiquidityGaugeV3,0x6955a55416a06839309018A8B0cB72c4DDC11f15
USDK-LiquidityGauge,0xC2b1DF84112619D190193E48148000e3990Bf627
USDN-LiquidityGauge,0xF98450B5602fa59CC66e1379DFfB6FDDc724CfC4
USDP-LiquidityGaugeV2,0x055be5DDB7A925BfEF3417FC157f53CA77cA7222
USDT-LiquidityGauge,0xBC89cd85491d81C6AD2954E6d0362Ee29fCa8F53
UST-LiquidityGaugeV2,0x3B7020743Bc2A4ca9EaF9D0722d42E20d6935855
Y-LiquidityGauge,0xFA712EE4788C042e2B7BB55E6cb8ec569C4530c1
Yv2-LiquidityGaugeV2,0x8101E6760130be2C8Ace79643AB73500571b7162
CRV Token,0xD533a949740bb3306d119CC777fa900bA034cd52
Fee Distributor,0xA464e6DCda8AC41e03616F95f4BC98a13b8922Dc
Gauge Controller,0x2F50D538606Fa9EDD2B11E2446BEb18C9D5846bB
Minter,0xd061D61a4d941c39E5453435B6345Dc261C2fcE0
Voting Escrow,0x5f3b5DfEb7B28CDbD7FAba78963EE202a494e2A2
Vesting Escrow,0x575ccd8e2d300e2377b43478339e364000318e2c
Gauge Owner,0x519AFB566c05E00cfB9af73496D00217A630e4D5
Pool Owner,0xeCb456EA5365865EbAb8a2661B0c503410e9B347
Crypto Pool Owner,0x3687367CcAEBBE89f1bc8Eae7592b4Eed44Ac0Bd
Factory Pool Owner,0x8cf8af108b3b46ddc6ad596aebb917e053f0d72b
ABurner,0x12220a63a2013133d54558c9d03c35288eac9b34
CryptoLPBurner,0x0B5B9210d5015fD0c97FB19B32675b19703b0453
CBurner,0xdd0e10857d952c73b2fa39ce86308299df8774b8
LPBurner,0xaa42C0CD9645A58dfeB699cCAeFBD30f19B1ff81
MetaBurner,0xE4b65889469ad896e866331f0AB5652C1EcfB3E6
SynthBurner,0x67a0213310202DBc2cbE788f4349B72fbA90f9Fa
USDNBurner,0x06534b0BF7Ff378F162d4F348390BDA53b15fA35
UnderlyingBurner,0x786b374b5eef874279f4b7b4de16940e57301a58
UniswapBurner,0xf3b64840b39121b40d8685f1576b64c157ce2e24
YBurner,0xd16ea3e5681234da84419512eb597362135cd8c9
Address Provider,0x0000000022d53366457f9d5e68ec105046fc4383
Curve Calculator,0xc1DB00a8E5Ef7bfa476395cdbcc98235477cDE4E
Pool Info,0xe64608E223433E8a03a1DaaeFD8Cb638C14B552C
Registry,0x90E00ACe148ca3b23Ac1bC8C240C2a7Dd9c2d7f5
Factory,0x0959158b6040D32d04c301A72CBFD6b39E21c9AE
Migrator,0xd6930b7f661257DA36F93160149b031735237594
3pool Deposit Zap,0xA79828DF1850E8a3A3064576f380D90aECDD3359
sBTC Deposit Zap,0x7AbDBAf29929e7F8621B757D2a7c04d78d633834
alUSD-Metaimplementation,0x43b4FdFD4Ff969587185cDB6f0BD875c5Fc83f8c
FRAX-Metaimplementation,0xd632f22692FaC7611d2AA1C0D552930D43CAEd3B
Ownership-Agent,0x40907540d8a6c65c637785e8f8b742ae6b0b9968
Parameter-Agent,0x4eeb3ba4f221ca16ed4a0cc7254e2e32df948c5f
Emergency-Agent,0x00669DF67E4827FCc0E48A1838a8d5AB79281909
Ownership-VotingApp,0xE478de485ad2fe566d49342Cbd03E49ed7DB3356
Parameter-VotingApp,0xBCfF8B0b9419b9A88c44546519b1e909cF330399
Emergency-VotingApp,0x1115c9b3168563354137cDc60efb66552dd50678
